N,P,A,O
00,Zaza,Moving erraticly,Witch broom
01,Sid (Ice Age),Friendly but dumb,Lazy eyes
02,Shimon Peres,Ani loser?!,Konjak
03,Sam (Sojda),Works at Swagelok,Valve
04,Zoro,Fight with sword,Mask
05,Sal,Making Khan Video,Virtual pen
06,Sasha Baron Cohen,Awkard interview,Azamat
07,James Bond,Aims and shoots,Pistol
08,Sefi Rivlin,Performing on old TV,Dodley
09,Eran Golden,"Very yellow, obey",Bold shiny head
10,Tamar,Dances,Ballet Shoes
11,Donald Duck,Lisping with spit,Web feet
12,Dan (Robbins),Voting for trump,Nescar Car
13,Timmy (Southpark),Living in a lie!,Wheelchair
14,T-rex,Stomping,Huge legs
15,Dalli,Sculpturing,Dripping Clocks
16,Tosh (-o),Flamboyant,Comedy show
17,Buiscit girl,Ticks,Buiscit
18,Tfue,Jumping out of the window,No Skin
19,Dobby,Obsequious,Sock
20,Naz,Eating,Fish
21,Channing Tatum,Police,Sirens
22,Nina (Tekken),Leg attack,High hills
23,Michael Jordan,Dunking,Basketball
24,Nir,Stealing Bike,Jail
25,Nella,Cutting Hair,Scissors
26,Shimon,Fights in war,Tank
27,Nick,Paging,Radio
28,Nova,Microing,Marines
29,Noob,Being a noob,Noob Gear
30,Mark Zuckerburg,Post Status,Facebook
31,Matt,Playing Rocketleague,Octane
32,Meni Moshonov,Licencious,Ktzarim (keren mor)
33,Mickey Mouse,Driving Helm dancing,Huge Ears
34,Mr. Beast,Tipping a LOT,Dollar biils
35,Mona Lisa,Smiling,Lips
36,Michael Jackson,Moonwalking,Fedora
37,Magnus Carlson,Checkmating,King chess piece
38,Megan Fox,Super Model walk,Lingerie
39,Mel B,Judging AGT,Buzzer
40,Russo,Does weddings,Canadian Rabbi
41,Red (From OITNB),Threat murder (Russ acc),Small Cage
42,Ren (& Stimpy),Acting silly to annoy,Log
43,Ronald McDonald,Frying Fries,Clown Shoes
44,Roger Rabbit,Hitting on women,Red shlakess 
45,Rami Levi,Barders (food),Supermarket / Groceries
46,Rashi,Reading/Teaching bible,Long Beard / Tzitzit
47,Rick (from rick&morty),Science experiement,Crazy Laugh / anxious
48,Ben Gurion,Speech,Scroll
49,Robbie,Fixing Robot,Hand held
50,Lisa Simpson,Studies hard,Saxophon
51,Larry David,Staring,Bald head
52,Luna (lovegood),Very stoic,Dead Horses
53,LLama,Hard to find (camping),Spilling materials
54,Laura (SFV),Winning in SF,Bikini
55,Lulu,Tombboy (dancing),Red dress
56,Luigi,Hitting boxes with head,Green hat
57,Loki,Fights superheros,Hornes
58,Lord Voldemort,Curse,Wand
59,Luppo,Plays Fortnite,Bolt sniper action
60,Chase juggler,2 club tricks,skinny Jeans
61,(Judge) Judy,Arbitrates,Gavel
62,Rami,Grilling,Chicken Wings
63,(Earthworm) Jim,riding space ship,spacesuite
64,Cher,Sings,Plastic surgery
65,Shia LaBeouf,Just do it!,Hot wings
66,Charlie Chaplin,Miming,Cane
67,Shaq,Guarding with might,Huge tall muscles
68,Chef Gordon Ramsey,Knife skills,Burger
69,Shabbi,crawling,Snail
70,Kiss (band),Playing hardrock,Electric Guitar
71,Anthony Gatto,Juggling,Clubs
72,Keen,thumbs up,Pogo Stick
73,Kim,Nursing,Dangeous food
74,Keanu Reeves,Avoiding bullets,Matrix (glasses + coat)
75,Static,Writing silly songs,Dances Tudo Bom
76,Kash,Being Frugal,Microsoft Excel
77,Kaka,Playing soccer,Soccer ball
78,Goofy,Goggling water,Adams apple
79,Katy Perry,Roar,Lion
80,Frank Sinatra,Singing,Microphone with stand (frog singing)
81,Phet ,Fixing a car,Slider under car
82,Vin Diesel,Driving fast and furious,Race car
83,Peter Griffin,vomitting,Stewie
84,Pharaoh,Ruling,Mummies
85,Fel (Reaver),Destroying trees,Mechanical Head
86,Vish,Copying homework,iPhone 5
87,Vicki,Speaking cantonese,baloon animals
88,Vova,Passing clubs,Olga
89,Phibi (from Friends),Playing guitar badly,Smelly Cat
90,Baz,Sending singals,Wings on back
91,Bat (man),Shoryukens thrown,Bat-Cycle
92,Mr. Bin,Bin making facial expression,Swimming Trunk
93,Bar Mualem,Spraying condiments,Ketchup bottles
94,Bob Ross,Painting happy trees,Paint Brush
95,Baloo,Scretching Back,Tree
96,Bush,Stupid speech,Republican Elephant
97,Rebecca,Playing the flute,Flute
98,Buffy,Catching vampires,blond hair
99,Bibi,Inversitaged,Cigars